b0001	P0AD86
b3349	P0A9K9
b4551	P0ADW8
b3350	P45522
b3351	P0A756
b3352	P63389
b3353	P45524
b3354	P67624
b3355	P0AEX5
b3356	P0ADX1
b3357	P0ACJ8
b3358	P45537
b3359	P18335
b3360	P00903
b3361	P20605
b3362	P0ADX5
b3363	P0AFL3
b3364	P60778
b3365	P08201
b3366	P0A9I8
b3367	P0AC26
b3368	P0AEA8
b3369	P64627
b3370	P45539
b3371	P0AC00
b4474	P45541
b3374	P45543
b3375	P45544
b3376	P45545
b3377	P45546
b3378	P64631
b3379	P45548
b3380	P45549
b3381	P45550
b3382	P45551
b3383	P45552
b3384	P00954
b3385	P32662
b3386	P0AG07
b3387	P0AEE8
b3388	P11557
b3389	P07639
b3390	P0A6D7
b3391	P34749
b3392	P45750
b3393	P45751
b3394	P64634
b3395	P45753
b3396	P02918
b3397	P45799
b3398	P45800
b3399	P64636
b3400	P0ACG8
b3401	P0A6Y5
b3402	P45804
b3403	P22259
b3404	P0AEJ4
b3405	P0AA16
b3406	P30128
b3407	P46837
b3408	P0AEL3
b3409	P33650
b3410	P64638
b3411	P31667
b3412	P13001
b3413	P46846
b3414	P63020
b3415	P39835
b3416	P15977
b3417	P00490
b3418	P06993
b4475	P46849
b3421	P46850
b3422	P38035
b3424	P09391
b3425	P0A6V5
b3426	P13035
b3428	P0AC86
b3429	P0A6U8
b3430	P0A6V1
b3431	P15067
b3432	P07762
b3433	P0A9Q9
b3434	P67143
b4476	P0AC96
b3437	P46859
b3438	P0ACP5
b3439	P46852
b3440	P46853
b3441	P46854
b3442	P46855
b3444	P0CF11
b3445	P0CF28
b3446	P46857
b3447	P18956
b3448	P0ADX7
b3449	P10908
b3450	P10907
b3451	P10906
b3452	P10905
b3453	P0AG80
b3454	P22731
b3455	P0A9S7
b3456	P22729
b3457	P0AEX7
b3458	P04816
b3459	P37613
b3460	P0AD96
b3461	P0AGB3
b3462	P0AC30
b3463	P0A9R7
b3464	P10121
b3465	P0ADX9
b3466	P37614
b3467	P37615
b3468	P0ADI9
b3469	P37617
b3470	P0A890
b3471	P37619
b3472	P0AEE1
b3473	P37621
b3474	P0AGM0
b3475	P37623
b3476	P33590
b3477	P33591
b3478	P0AFA9
b3479	P33593
b3480	P33594
b3481	P0A6Z6
b3482	P16917
b3483	P28911
b3484	P28912
b3485	P0AGH1
b3486	P37624
b3487	P37626
b3488	P37627
b3491	P37630
b3492	P37631
b3493	P0AFJ7
b3494	P0A8S5
b3495	P0AED0
b3496	P36837
b3497	P68567
b3498	P27298
b3499	P37634
b3500	P06715
b4613	A5A624
b3501	P37309
b3502	P0AB93
b3503	P0AB96
b3505	P0CE58
b3506	P37194
b3507	P37195
b3508	P0AFV2
b3509	P0AET2
b3510	P0AES9
b3511	P0AET5
b3512	P63204
b3513	P37636
b3514	P37637
b3515	P63201
b3516	P37639
b3517	P69908
b3518	P37197
b3519	P62601
b3520	P37640
b3521	P37641
b3522	P37642
b3523	P37643
b3524	P37645
b3525	P37646
b3526	P37647
b3527	P37648
b3528	P0A830
b3529	P37649
b3530	P37650
b3531	P37651
b3532	P37652
b3533	P37653
b3535	P0ADJ3
b3536	P37657
b3537	P0ADJ5
b3538	P37659
b4453	Q6BF25
b3539	P37660
b3540	P37313
b3541	P0AAG0
b3542	P0AEG1
b3543	P0AEF8
b3544	P23847
b3546	P37661
b3547	P37662
b3548	P37663
b3549	P05100
b3550	P37664
b3551	P20099
b3552	P37665
b3553	P37666
b3554	P0ADK0
b3555	P0A9V5
b3556	P0A9X9
b4455	P37305
b3557	P19768
b3558	P19769
b3559	P00961
b3560	P00960
b4553	Q2M7M3
b3561	P37669
b3562	P0ADJ8
b3563	P11286
b3564	P09099
b3565	P00944
b3566	P37387
b3567	P37388
b3568	P0AGI4
b3569	P0ACI3
b3570	P27297
b3571	P25718
b3572	P09053
b3573	P56256
b3574	P37671
b3575	P37672
b3576	P37673
b3577	P37674
b3578	P37675
b3579	P37676
b3580	P37677
b3581	P37678
b3582	P37679
b3583	P37680
b3584	P37681
b3585	P37682
b3586	P37683
b3587	P0ADK4
b3588	P37685
b3589	P37686
b3590	P14081
b3591	P0A821
b3592	P0ACA1
b3593	P16916
b3594	P0ADK6
b3596	P32106
b3597	P0AFV0
b3598	P32108
b3599	P00550
b3600	P09424
b3601	P0AF10
b4554	Q2M7R5
b3602	P0ADK8
b3603	P33231
b3604	P0ACL7
b3605	P33232
b3606	P0AGJ7
b3607	P0A9D4
b3608	P0A6S7
b3609	P0AG86
b3610	P0AC62
b3611	P0AG27
b3612	P37689
b3613	P37690
b3614	P37691
b3615	P11290
b3616	P07913
b3617	P0AB77
b3618	P25666
b3619	P67910
b3620	P37692
b3621	P24173
b3622	P27243
b3623	P27242
b3624	P27241
b3625	P27240
b3626	P27129
b3627	P27128
b3628	P27127
b3629	P27126
b3630	P25741
b3631	P25740
b3632	P25742
b3633	P0AC75
b3634	P0A6I6
b3635	P05523
b3636	P0A7N9
b3637	P0A7M2
b3638	P25531
b3639	P0ABQ0
b3640	P06968
b3641	P0C093
b3642	P0A7E3
b3644	P23839
b3645	P23840
b3646	P0AGM2
b3647	P25772
b3648	P60546
b3649	P0A800
b3650	P0AG24
b3651	P0AGJ2
b3652	P24230
b3653	P0AER8
b3654	P0AGM9
b3655	P31433
b3656	P31434
b3657	P31435
b3659	P31436
b3660	P31437
b3661	P04846
b4555	Q2M7X4
b3662	P0ADL1
b3663	P0ADL3
b3664	P31440
b3665	P31441
b3666	P0AGC0
b3667	P09836
b3668	P09835
b3669	P0AGA6
b3670	P0ADF8
b3671	P08142
b3672	P03061
b4618	A5A627
b3673	P31442
b3674	P31443
b3675	P0ADL6
b3676	P0ADM0
b3677	P31446
b3678	P31447
b3679	P31448
b3680	P31449
b3684	P31453
b3685	P60872
b3686	P0C058
b3687	P0C054
b3688	P0ADM4
b3689	P31455
b3690	P31456
b3691	P0AA76
b4478	Q6BF17
b4477	Q6BF16
b3693	P31459
b4479	P31460
b3696	P0ADM6
b3697	P0A8Y5
b3698	P09996
b3699	P0AES6
b3700	P0A7H0
b3701	P0A988
b3702	P03004
b3703	P0A7P5
b3704	P0A7Y8
b4557	P0A8C8
b3705	P25714
b3706	P25522
b3707	P0AD89
b3708	P0A853
b3709	P23173
b3710	P31462
b3711	P31463
b3712	P0ADM8
b3713	P0AGE6
b3714	P31466
b3715	P31467
b3716	P31468
b3717	P31469
b3718	P31470
b3719	P31471
b3720	P26218
b3721	P11988
b3722	P08722
b3723	P11989
b3724	P0A9K7
b3725	P0AAH0
b3726	P07654
b3727	P0AGH8
b3728	P0AG82
b3729	P17169
b3730	P0ACC7
b3731	P0A6E6
b3732	P0ABB4
b3733	P0ABA6
b3734	P0ABB0
b3735	P0ABA4
b3736	P0ABA0
b3737	P68699
b3738	P0AB98
b3739	P0ABC0
b3740	P0A6U5
b3741	P0A6U3
b3742	P03817
b3743	P0ACI6
b3744	P00963
b3745	P0ADN0
b3746	P31473
b3747	P63183
b3748	P04982
b3749	P04983
b3750	P0AGI1
b3751	P02925
b3752	P0A9J6
b3753	P0ACQ0
b3754	P31474
b3755	P31475
b4480	P0A8R9
b3764	P0ADN2
b3765	P22787
b3766	P62522
b4669	C1P619
b3769	P0ADG1
b3770	P0AB80
b3771	P05791
b3772	P04968
b3773	P05827
b3774	P05793
b3775	P0A9L5
b3778	P09980
b3779	P25552
b3780	P0A8J8
b3781	P0AA25
b3783	P0AG30
b3784	P0AC78
b3785	P0AG00
b3786	P27828
b3787	P27829
b3788	P27830
b3789	P61887
b3790	P27832
b3791	P27833
b3792	P0AAA7
b4481	P56258
b3793	P27835
b3794	P27836
b3795	P27837
b3800	P25550
b3801	P25549
b3802	P0ACB7
b3803	P09127
b3804	P09126
b3805	P06983
b3806	P00936
b3807	P27838
b4558	P0ADN6
b3809	P0A6K1
b3810	P23305
b3811	P0A8P6
b3812	P0ADP0
b3813	P03018
b4482	P27840
b3816	P0ABI4
b3817	P27842
b3818	P27843
b3819	P27844
b3820	P0ADP2
b3821	P0A921
b3822	P15043
b3823	P0AG38
b3824	P0AG34
b3825	P07000
b3826	P27848
b3827	P0ADP5
b3828	P0A9F9
b3829	P25665
b3830	P56262
b3831	P12758
b3832	P0AG71
b3833	P0A887
b3834	P0ADP7
b3835	P0A6A0
b3836	P69428
b3838	P69425
b3839	P69423
b4483	P27859
b3842	P0AFW0
b3843	P0AAB4
b3844	P0AEN1
b3845	P21151
b3846	P21177
b3847	P21165
b3848	P27862
b3849	P0AFZ7
b3850	P0ACB4
b3856	P32125
b3857	P32173
b3858	P0ADP9
b3859	P0C0K3
b3860	P0AEG4
b3861	P32128
b3862	P32129
b3863	P00582
b3865	P0A6P7
b3866	P0A8H6
b3867	P32131
b4686	C1P620
b3868	P0AFB8
b3869	P0AFB5
b3870	P0A9C5
b3871	P32132
b3872	P0ACM9
b3873	P32134
b3874	P32135
b3875	P76773
b3876	P32136
b3877	P32137
b3878	P32138
b3879	P32139
b3880	P32140
b3881	P32141
b3882	P0A9V8
b3883	P32143
b3884	P32144
b3885	P0A8Y3
b3886	P0A8K8
b3887	P0A6M4
b3888	P0ADQ2
b3889	P0ADQ5
b3890	P0AFU6
b3891	P13024
b3892	P0AEL0
b3893	P0AAJ5
b3894	P32176
b3895	P32177
b3896	P32151
b3897	P32152
b3898	P32153
b3899	P32154
b3900	P32155
b3901	P32156
b3902	P32169
b3903	P32170
b3904	P32171
b3905	P09377
b3906	P09378
b3907	P27125
b3908	P00448
b3909	P0A712
b3910	P32157
b3911	P0AE82
b3912	P0AE88
b4484	P0AE85
b3915	P69380
b3916	P0A796
b3917	P0AG78
b3918	P06282
b3919	P0A858
b3920	P32160
b3921	P0AF34
b3922	P32162
b3923	P0AAB8
b3924	P28861
b3925	P0A9C9
b3926	P0A6F3
b3927	P0AER0
b3928	P0AF36
b3929	P0A8R0
b3930	P32166
b3931	P0A6H5
b3932	P0A7B8
b3933	P29131
b3934	P0ACN7
b3935	P17888
b3936	P0A7M9
b3937	P32167
b3938	P0A8U6
b3939	P00935
b3940	P00562
b3941	P0AEZ1
b3942	P13029
b3943	P0ABT8
b3944	P32668
b3945	P0A9S5
b3946	P32669
b3947	P32670
b3949	P32672
b3950	P69816
b3951	P32674
b3952	P32675
b3953	P32676
b3954	P32677
b3955	P0CB39
b3956	P00864
b3957	P23908
b3958	P11446
b3959	P0A6C8
b3960	P11447
b3961	P0ACQ4
b3962	P27306
b3963	P0ACU5
b3964	P0AF40
b3965	P23003
b3966	P06129
b3967	P22634
b3972	P08373
b3973	P06709
b3974	P0A6I3
b3980	P0CE48
b3981	P0AG96
b3982	P0AFG0
b3983	P0A7J7
b3984	P0A7L0
b3985	P0A7J3
b3986	P0A7K2
b3987	P0A8V2
b3988	P0A8T7
b3989	P27375
b3990	P30140
b3991	P30139
b4407	O32583
b3992	P30138
b3993	P30137
b3994	P30136
b3995	P0AFX4
b3996	P32664
b3997	P29680
b3998	P68739
b3999	P32680
b4000	P0ACF0
b4001	P32681
b4002	P0AAA9
b4003	P14377
b4004	P14375
b4005	P15640
b4006	P15639
b4011	P09162
b4012	P09163
b4013	P07623
b4014	P08997
b4015	P0A9G6
b4016	P11071
b4017	P23325
b4018	P16528
b4019	P13009
b4020	P0AF43
b4021	P0A7C6
b4022	P32684
b4023	P32685
b4024	P08660
b4025	P0A6T1
b4026	P0AF45
b4027	P32687
b4028	P32688
b4029	P32689
b4620	A5A628
b4030	P0A7C8
b4031	P0AGF4
b4032	P68183
b4033	P02916
b4034	P0AEX9
b4035	P68187
b4036	P02943
b4037	P03841
b4039	P26602
b4040	P0AGK1
b4041	P0A7A7
b4042	P0ABN1
b4043	P0A7C2
b4044	P28303
b4045	P68206
b4046	P0AC51
b4047	P32693
b4048	P32694
b4049	P32695
b4050	P32696
b4051	P28304
b4052	P0ACB0
b4053	P0A6B4
b4054	P04693
b4621	P58036
b4055	P0AE22
b4056	P0AF48
b4057	P0AF50
b4058	P0A698
b4059	P0AGE0
b4060	P32700
b4061	P32701
b4062	P0A9E2
b4063	P0ACS2
b4064	P0AF52
b4065	P32703
b4066	P32704
b4067	P32705
b4068	P0AF54
b4069	P27550
b4070	P0ABK9
b4071	P0ABL1
b4072	P0AAK7
b4073	P32709
b4074	P32710
b4075	P32711
b4076	P32712
b4077	P21345
b4078	P0AF56
b4079	P07658
b4080	P32714
b4081	P32715
b4082	P32716
b4622	A5A630
b4083	P32717
b4084	P32718
b4085	P32719
b4086	P32720
b4087	P32721
b4088	P39265
b4089	P0ACS7
b4090	P37351
b4487	Q6BEX5
b4092	P16692
b4093	P16691
b4094	P16690
b4095	P16689
b4096	P16679
b4097	P16678
b4098	P16688
b4099	P16687
b4100	P16686
b4101	P16685
b4102	P16684
b4105	P16682
b4106	P16677
b4107	P16681
b4108	P0AFJ1
b4109	P16694
b4110	P39267
b4111	P0C0L7
b4703	G3MTW7
b4112	P30844
b4113	P30843
b4114	P30845
b4115	P60061
b4116	P33234
b4117	P28629
b4118	P0ACH8
b4119	P06720
b4120	P02921
b4121	P39270
b4122	P14407
b4123	P0ABN9
b4124	P0AD01
b4125	P0AEC8
b4126	P0AF59
b4127	P39274
b4128	P0AF61
b4559	P64646
b4129	P0A8N5
b4130	P39276
b4131	P0A9H3
b4132	P0AAE8
b4133	P23890
b4135	P0ACU7
b4136	P36655
b4137	P69488
b4138	P0ABN5
b4139	P0AC38
b4140	P37147
b4141	P39277
b4142	P0A6F9
b4143	P0A6F5
b4144	P0AF70
b4145	P39279
b4146	P39280
b4147	P0A6N4
b4410	P0ADB4
b4411	P0ADB7
b4148	P69937
b4149	P0A901
b4150	P00811
b4151	P0A8Q3
b4152	P0A8Q0
b4153	P0AC47
b4154	P00363
b4155	P0A8N7
b4156	P39282
b4157	P39283
b4158	P39284
b4159	P39285
b4160	P0A8K1
b4161	P39286
b4162	P0A784
b4670	C1P621
b4166	P39288
b4167	P31806
b4168	P0AF67
b4169	P26365
b4170	P23367
b4171	P16384
b4172	P0A6X3
b4173	P25519
b4174	P0ABC7
b4175	P0ABC3
b4176	P0AF73
b4177	P0A7D4
b4178	P0AF63
b4179	P21499
b4180	P63177
b4181	P0AF76
b4182	P0AF78
b4183	P39293
b4184	P0AF80
b4185	P39295
b4186	P33222
b4187	P33224
b4188	P0AF82
b4189	P39297
b4190	P39298
b4191	P0A9W0
b4192	P39300
b4193	P39301
b4194	P69822
b4195	P69820
b4196	P39304
b4197	P39305
b4198	P39306
b4199	P0AF86
b4200	P02358
b4201	P07013
b4202	P0A7T7
b4203	P0A7R1
b4204	P39308
b4206	P39310
b4207	P0A9L3
b4208	P0AAE0
b4209	P69506
b4210	P39314
b4211	P39315
b4212	P0ACN2
b4213	P08331
b4214	P22255
b4215	P39317
b4216	P39187
b4217	P0ADE2
b4218	P0AE45
b4219	P0A744
b4220	P0ADE4
b4221	P39321
b4222	P0AE48
b4224	P08365
b4225	P33647
b4226	P0A7A9
b4227	P39325
b4485	Q6BEX0
b4230	P39328
b4231	P37772
b4232	P0A993
b4233	P37773
b4234	P0A8X0
b4235	P0AFK0
b4237	P0A9N8
b4238	P28903
b4239	P28904
b4240	P36672
b4241	P36673
b4702	E2JKY7
b4242	P0ABB8
b4243	P0AF93
b4244	P0A7F3
b4245	P0A786
b4246	P0AD83
b4248	P39332
b4249	P39333
b4251	P39334
b4252	P0AF96
b4253	P39336
b4254	P04391
b4255	P0AF90
b4256	P39337
b4257	P39338
b4258	P07118
b4259	P28905
b4260	P68767
b4261	P0AF98
b4262	P0ADC6
b4263	P39342
b4264	P39343
b4265	P39344
b4266	P0A9P9
b4267	P39346
b4268	P39208
b4269	P27250
b4272	P0CF45
b4273	P0CF58
b4277	P39351
b4278	P03835
b4279	P39352
b4280	P39353
b4655	A8DYQ1
b4284	P0CF90
b4287	P15031
b4288	P15029
b4289	P15030
b4290	P15028
b4291	P13036
b4292	P23485
b4293	P23484
b4294	P0CF12
b4295	P39356
b4296	P39357
b4297	P39358
b4298	P39359
b4299	P39360
b4300	P39361
b4301	P39362
b4302	P39363
b4303	P39364
b4304	P39365
b4565	P58035
b4305	P39366
b4306	P39367
b4307	P39368
b4566	Q2EEU2
b4309	P39370
b4310	P39371
b4311	P69856
b4312	P0ADH5
b4313	P0ADH7
b4314	P04128
b4315	P39264
b4316	P31697
b4317	P30130
b4318	P08189
b4319	P08190
b4320	P08191
b4321	P0AC94
b4322	P24215
b4323	P39160
b4324	P39161
b4325	P39374
b4326	P39375
b4327	P39376
b4328	P39377
b4329	P0AEH8
b4330	P39379
b4331	P39380
b4332	P39381
b4333	P39382
b4334	P39383
b4335	P39384
b4336	P39385
b4337	P39386
b4340	P39389
b4341	P39390
b4345	P15006
b4346	P15005
b4347	P39394
b4348	P05719
b4349	P08957
b4350	P08956
b4351	P24202
b4352	P24203
b4353	P0ADC8
b4354	P39396
b4355	P02942
b4356	P39398
b4357	P39399
b4358	P39400
b4359	P39401
b4360	P18390
b4361	P0AEF0
b4362	P0A8J2
b4363	P0ADD2
b4364	P0ADD5
b4365	P0ADD7
b4366	P39404
b4367	P39405
b4567	P55914
b4371	P39406
b4372	P28632
b4373	P0A944
b4374	P0A8Y1
b4375	P0A7I4
b4376	P0AFH8
b4568	Q2M5U1
b4377	P39407
b4378	P39408
b4379	P39409
b4380	P37342
b4381	P0A6L0
b4382	P07650
b4383	P0A6K6
b4384	P0ABP8
b4385	P39410
b4386	P32099
b4387	P0AGC7
b4388	P0AGB0
b4389	P24554
b4390	P27278
b4391	P0A9W3
b4392	P0AGC3
b4393	P0A881
b4394	P39411
b4395	P0A7A2
b4396	P0ACI0
b4397	P0AE91
b4398	P08368
b4399	P08401
b4400	P08369
b4401	P0A9Q1
b4402	P0ADD9
b4403	P37005
